,country,article_name,article_quality_est.,population
10998,Canada,Doug Oldford,Stub,38190000.0
10999,Canada,Kevin Menicoche,Stub,38190000.0
11000,Canada,Lindsay Blackett,Start,38190000.0
11001,Federated States of Micronesia,Erhart Aten,Stub,106000.0
11002,Canada,Stelman Flynn,Stub,38190000.0
11003,Nigeria,Sadiya Umar Farouq,Start,206140000.0
11004,Lithuania,Alfonsas Eidintas,Start,2794000.0
11005,Spain,José Luis Albareda y Sezde,Start,47635000.0
11006,Spain,Demetrio Alonso Castrillo,Stub,47635000.0
11007,Spain,Juan Alvarado y del Saz,Stub,47635000.0
11008,Spain,Diego Arias de Miranda,Start,47635000.0
11009,Spain,Pascual Amat y Esteve,Stub,47635000.0
11011,Taiwan,Lin Hsin-i,Stub,23610000.0
11012,Taiwan,Paul Chiu,Stub,23610000.0
11013,Solomon Islands,Charles Sigoto,Stub,715000.0
11014,Afghanistan,Sayed Mohammad Gulabzoy,Start,38928000.0
11015,Iran,Javad Mojtahed Shabestari,Stub,84150000.0
11016,Iran,Tahmasb Mazaheri,Stub,84150000.0
11017,France,Camille Cabral,Stub,64940000.0
11018,Belgium,Bart Laeremans,Start,11515000.0
11019,Belgium,Bart Martens,Stub,11515000.0
11020,Belgium,Boudewijn Bouckaert,Start,11515000.0
11021,Belgium,Carl Devlies,Stub,11515000.0
11022,Belgium,Christophe Collignon,Stub,11515000.0
11023,Belgium,Dirk Van Mechelen,Stub,11515000.0
11024,Belgium,Eric Van Rompuy,Start,11515000.0
11025,Belgium,Erik Tack,Stub,11515000.0
11026,Belgium,Filip Anthuenis,Stub,11515000.0
11027,Belgium,Francis Delpérée,Stub,11515000.0
11028,Belgium,Frank Boogaerts,Stub,11515000.0
11029,Belgium,Françoise Dupuis,Stub,11515000.0
11030,Belgium,Guy Swennen,Stub,11515000.0
11031,Belgium,Hendrik Bogaert,Stub,11515000.0
11032,Belgium,Huub Broers,Stub,11515000.0
11033,Belgium,Jan Peumans,Start,11515000.0
11034,Belgium,Jan Van Esbroeck,Stub,11515000.0
11035,Belgium,Jean-Jacques De Gucht,Stub,11515000.0
11036,Belgium,Jean-Paul Procureur,Stub,11515000.0
11037,Belgium,Jef Van Damme,Stub,11515000.0
11038,Belgium,John Crombez,Stub,11515000.0
11039,Belgium,Joris Van Hauthem,Stub,11515000.0
11040,Belgium,Josy Dubié,Stub,11515000.0
11041,Belgium,Jurgen Ceder,Stub,11515000.0
11042,Belgium,Jurgen Verstrepen,Stub,11515000.0
11043,Belgium,Karel Uyttersprot,Stub,11515000.0
11044,Belgium,Koenraad Degroote,Stub,11515000.0
11045,Belgium,Kristof Calvo,Stub,11515000.0
11046,Belgium,Joke Schauvliege,Stub,11515000.0
11047,Belgium,Luc Sevenhans,Stub,11515000.0
11048,Belgium,Manu Beuselinck,Stub,11515000.0
11049,Belgium,Marc Elsen,Stub,11515000.0
11050,Belgium,Patrick De Groote,Stub,11515000.0
11051,Belgium,Patrick Janssens,Start,11515000.0
11052,Belgium,Peter Dedecker,Stub,11515000.0
11053,Belgium,Peter Vanvelthoven,Start,11515000.0
11054,Belgium,Pol Van Den Driessche,Stub,11515000.0
11055,Belgium,Stefaan De Clerck,Stub,11515000.0
11056,Belgium,Stefaan Van Hecke,Start,11515000.0
11057,Belgium,Tom Van Grieken,Stub,11515000.0
11058,Belgium,Willy Segers,Stub,11515000.0
11059,Belgium,Wouter Beke,Stub,11515000.0
11060,Belgium,Yves Buysse,Stub,11515000.0
11061,Denmark,Birthe Rønn Hornbech,Start,5829000.0
11062,Denmark,Brian Mikkelsen,Stub,5829000.0
11063,Denmark,Carsten Hansen (politician),Stub,5829000.0
11065,Denmark,Hans Christian Schmidt,Stub,5829000.0
11066,Denmark,Jakob Axel Nielsen,Stub,5829000.0
11068,Denmark,Martin Geertsen,Start,5829000.0
11069,Denmark,Mette Gjerskov,Start,5829000.0
11070,Denmark,Morten Bødskov,Stub,5829000.0
11071,Netherlands,Bas van der Vlies,Stub,17467000.0
11072,Netherlands,Bruno Braakhuis,Stub,17467000.0
11073,San Marino,Ernesto Benedettini,Stub,34000.0
11074,France,Joseph Capus,GA,64940000.0
11075,Netherlands,Ino van den Besselaar,Stub,17467000.0
11076,Netherlands,Johan Driessen,Stub,17467000.0
11077,Netherlands,Marcial Hernandez,Stub,17467000.0
11078,Netherlands,Niels van den Berge,Stub,17467000.0
11079,Netherlands,Richard de Mos,Stub,17467000.0
11080,Netherlands,Rik Janssen,Stub,17467000.0
11081,Albania,Adrian Kollozi,Stub,2838000.0
11082,Morocco,Ahmed Toufiq Hejira,Stub,35952000.0
11083,Albania,Ardian Turku,Stub,2838000.0
11084,Albania,Aurel Bylykbashi,Stub,2838000.0
11085,Albania,Bedri Hoxha,Stub,2838000.0
11086,Albania,Besnik Dushaj,Stub,2838000.0
11087,Albania,Dashnor Sula,Stub,2838000.0
11088,Albania,Edi Paloka,Stub,2838000.0
11089,Albania,Edmond Spaho,Stub,2838000.0
11090,Albania,Ferdinand Xhaferraj,Stub,2838000.0
11091,Albania,Ilir Gjoni,Start,2838000.0
11092,Albania,Kosta Barka,Stub,2838000.0
11093,Albania,Kreshnik Çipi,Stub,2838000.0
11094,Albania,Mehmet Xheka,Stub,2838000.0
11095,Albania,Namik Dokle,Stub,2838000.0
11096,Albania,Ndriçim Babasi,Stub,2838000.0
11097,Albania,Ndue Paluca,Stub,2838000.0
11098,Albania,Osman Metalla,Stub,2838000.0
11099,Albania,Paulin Sterkaj,Stub,2838000.0
11100,Albania,Ramiz Çobaj,Stub,2838000.0
11101,Albania,Rajmond Hoxha,Stub,2838000.0
11102,Albania,Selami Xhepa,Stub,2838000.0
11103,Albania,Sherefedin Shehu,Stub,2838000.0
11104,Albania,Sokol Olldashi,Stub,2838000.0
11105,Albania,Spiro Ksera,Stub,2838000.0
11106,Albania,Sybi Hida,Stub,2838000.0
11107,Albania,Tritan Shehu,Stub,2838000.0
11108,Albania,Vangjel Dule,Stub,2838000.0
11109,Albania,Vangjel Tavo,Stub,2838000.0
11110,Albania,Vasillaq Ngresi,Stub,2838000.0
11111,Albania,Viktor Gumi,Stub,2838000.0
11112,Albania,Ylli Lama,Stub,2838000.0
11113,Germany,Andreas Schockenhoff,Stub,83300000.0
11114,Germany,Carsten Sieling,Start,83300000.0
11115,Germany,Detlef Seif,Stub,83300000.0
11116,Germany,Jens Ackermann,Stub,83300000.0
11117,Germany,Jörg van Essen,Stub,83300000.0
11118,Germany,Norbert Geis,Start,83300000.0
11119,Germany,Peter Danckert,Stub,83300000.0
11120,Germany,Rolf Koschorrek,Stub,83300000.0
11121,Russia,Alexander Zhukov,Start,146733000.0
11122,Russia,Lyubov Sliska,Stub,146733000.0
11123,Russia,Yaroslav Nilov,Stub,146733000.0
11124,Russia,Yelena Drapeko,Start,146733000.0
11125,France,Jérôme Guedj,Stub,64940000.0
11126,Armenia,Vagharshak Harutiunyan,Start,2956000.0
11127,Pakistan,Shahed Ali Patwary,Stub,220940000.0
11128,Armenia,Artem Asatryan,Start,2956000.0
11130,Armenia,Gevorg Petrosyan (politician),Start,2956000.0
11131,Japan,Hisayasu Nagata,Start,125967000.0
11132,Israel,Etai Pinkas,C,9216000.0
11133,Bulgaria,Vladimir Damgov,Start,6927000.0
11134,Russia,Valery Okulov,Stub,146733000.0
11135,Japan,Makoto Taki,Start,125967000.0
11136,Japan,Michihiko Kano,Stub,125967000.0
11137,Japan,Mikio Fujita,Stub,125967000.0
11138,Japan,Muneo Suzuki,Start,125967000.0
11139,Japan,Nobuo Matsuno,Stub,125967000.0
11140,Japan,Taku Otsuka,Stub,125967000.0
11141,Japan,Yamato Inaba,Stub,125967000.0
11142,Australia,Justine Keay,Stub,25754000.0
11143,Finland,Raimo Ilaskivi,Stub,5529000.0
11144,Japan,Teruaki Masumoto,Stub,125967000.0
11145,Cambodia,Tiv Ol,Start,15497000.0
11146,Philippines,Juan Macapagal,Start,109581000.0
11147,Malta,Robert Cutajar,Stub,522000.0
11148,Australia,Andrew Wallace,Stub,25754000.0
11149,Iraq,Alaa Abdessaheb al-Alwan,Start,39725000.0
11150,Nigeria,Ibrahim Bunu,Start,206140000.0
11151,Taiwan,Wu Mei-hung,C,23610000.0
11152,Indonesia,Anis Matta,Start,271739000.0
11153,Bulgaria,Petar Gudev,Stub,6927000.0
11154,Malaysia,Lim Beng Hong,Start,32781000.0
11155,Iran,Mahmoud Jafarian,Start,84150000.0
11156,Japan,Masamune Wada,Stub,125967000.0
11157,Finland,Antti Lindtman,Start,5529000.0
11158,Finland,Arto Satonen,Stub,5529000.0
11159,Finland,Erkki Pulliainen,Start,5529000.0
11160,Finland,Esko Ahonen,Stub,5529000.0
11161,Finland,Hannes Manninen,Stub,5529000.0
11162,Finland,Ilkka Viljanen,Stub,5529000.0
11163,Finland,Jaana Laitinen-Pesola,Stub,5529000.0
11164,Finland,Jacob Söderman,Start,5529000.0
11165,Finland,Johannes Koskinen,Stub,5529000.0
11166,Finland,Juhana Vartiainen,Stub,5529000.0
11167,Finland,Jyrki Yrttiaho,Stub,5529000.0
11168,Finland,Kai Mykkänen,Stub,5529000.0
11169,Finland,Kalle Jokinen,Stub,5529000.0
11170,Finland,Kimmo Sasi,Stub,5529000.0
11171,Finland,Kyösti Karjula,Stub,5529000.0
11172,Finland,Lasse Männistö,Stub,5529000.0
11173,Finland,Mats Löfström,Stub,5529000.0
11174,Finland,Mika Raatikainen,Stub,5529000.0
11175,Finland,Minna Sirnö,Stub,5529000.0
11176,Finland,Rakel Hiltunen,Stub,5529000.0
11177,Finland,Sofia Vikman,Stub,5529000.0
11178,Finland,Susanna Haapoja,Stub,5529000.0
11179,Finland,Susanna Koski,Stub,5529000.0
11180,Finland,Tapani Tölli,Stub,5529000.0
11181,Finland,Terhi Peltokorpi,Stub,5529000.0
11182,Finland,Tom Packalén,Stub,5529000.0
11183,Finland,Tuula Väätäinen,Stub,5529000.0
11184,Finland,Unto Valpas,Stub,5529000.0
11185,Finland,Valto Koski,Stub,5529000.0
11186,Finland,Wille Rydman,Stub,5529000.0
11187,Marshall Islands,Thomas Heine,Stub,57000.0
11188,Canada,Anita Neville,Start,38190000.0
11189,Belgium,Ann Vanheste,Stub,11515000.0
11190,Netherlands,Aukje de Vries,Stub,17467000.0
11191,Netherlands,Barbara Visser,Stub,17467000.0
11192,Peru,Jaime Quijandría Salmón,Stub,32824000.0
11193,Israel,Ze'ev Zrizi,Stub,9216000.0
11194,Romania,Vintilă Brătianu,Stub,19241000.0
11195,Belgium,Christine Defraigne,Stub,11515000.0
11196,United States,Christine Tartaglione,C,329878000.0
11197,Netherlands,Elly Blanksma-van den Heuvel,Start,17467000.0
11198,Canada,Erminie Cohen,Start,38190000.0
11199,Sweden,Nils Claëson,Stub,10377000.0
11200,Denmark,Eva Kjer Hansen,Stub,5829000.0
11201,Denmark,Gitte Lillelund Bech,Stub,5829000.0
11202,Italy,Vito Nunziante,Start,60296000.0
11203,Netherlands,Helma Lodders,Stub,17467000.0
11204,Netherlands,Ineke van Gent,Start,17467000.0
11205,Belgium,Isabelle Simonis,Stub,11515000.0
11206,Finland,Janina Andersson,Stub,5529000.0
11207,Netherlands,Janneke Snijder-Hazelhoff,Start,17467000.0
11208,Finland,Johanna Jurva,Stub,5529000.0
11209,Belgium,Joëlle Kapompolé,Stub,11515000.0
11210,Netherlands,Karien van Gennip,Stub,17467000.0
11211,Finland,Katja Hänninen,Stub,5529000.0
11212,Germany,Kirsten Lühmann,Start,83300000.0
11213,Germany,Lale Akgün,Stub,83300000.0
11214,Finland,Leena Rauhala,Stub,5529000.0
11215,Australia,Madeleine King,Stub,25754000.0
11216,Belgium,Magda De Galan,Stub,11515000.0
11217,Netherlands,Manja Smits,Stub,17467000.0
11218,Netherlands,Margreeth Smilde,Stub,17467000.0
11219,Netherlands,Marieke van der Werf,Stub,17467000.0
11220,Finland,Merikukka Forsius,Stub,5529000.0
11221,Netherlands,Mirjam Sterk,Start,17467000.0
11222,Nigeria,Mojisola Adekunle-Obasanjo,Stub,206140000.0
11223,Canada,Monique Richard,Stub,38190000.0
11224,Finland,Nanna Sumuvuori,Start,5529000.0
11225,Netherlands,Naïma Azough,Start,17467000.0
11226,Sri Lanka,Niluka Ekanayake,Stub,21937000.0
11227,Netherlands,Nine Kooiman,Stub,17467000.0
11228,Netherlands,Ockje Tellegen,Stub,17467000.0
11229,Belgium,Patricia Ceysens,Start,11515000.0
11230,Netherlands,Pauline Smeets,Stub,17467000.0
11231,Belgium,Rita De Bont,Stub,11515000.0
11232,Netherlands,Rosita van Gijlswijk,Stub,17467000.0
11233,Netherlands,Sabine Uitslag,Stub,17467000.0
11235,Finland,Sari Palm,Stub,5529000.0
11236,Belgium,Sonja Becq,Stub,11515000.0
11237,Belgium,Sophie De Wit,Stub,11515000.0
11238,Netherlands,Stientje van Veldhoven,Stub,17467000.0
11239,Belgium,Tine Eerlingen,Stub,11515000.0
11240,Finland,Ulla-Maj Wideroos,Stub,5529000.0
11241,Germany,Ute Berg,Stub,83300000.0
11242,Canada,Vivian Barbot,Start,38190000.0
11243,Nigeria,Yetunde Onanuga,Stub,206140000.0
11244,Japan,Yukari Iijima,Stub,125967000.0
11245,Palestinian Territory,Atef Adwan,Start,5008000.0
11246,Palestinian Territory,Moussa Arafat,Start,5008000.0
11247,Greece,Michalis Papakonstantinou,Stub,10700000.0
11248,Bhutan,Pema Gyamtsho,Start,730000.0
11249,Australia,George Hubble,Start,25754000.0
11250,France,"Charles Joseph, comte Bresson",Start,64940000.0
11251,Tonga,Papiloa Foliaki,Stub,99000.0
11252,China,Zhao Guangyi (Southern Han),B,1402385000.0
11253,New Zealand,James McIndoe,Stub,4987000.0
11254,Colombia,Jorge Enrique Robledo,Start,49444000.0
11255,Russia,Gavriil Antonovich Katakazi,Stub,146733000.0
11256,South Africa,John Block (South African politician),Start,59628000.0
11257,Albania,Mustafa Bëssj Ndroqi,Stub,2838000.0
11258,Armenia,Ashot Yeghiazaryan,Stub,2956000.0
11259,United Kingdom,Arshad Ali (politician),Stub,67160000.0
11260,France,Camille Ferdinand Dreyfus,C,64940000.0
11261,Brazil,Pedro Taques,Stub,211812000.0
11262,Brazil,Silval Barbosa,Stub,211812000.0
11263,Brazil,Newton Cardoso,Stub,211812000.0
11264,Montenegro,Batrić Jovanović,Stub,622000.0
11265,Brazil,Silviano Brandão,Stub,211812000.0
11266,Taiwan,Yan Jeou-rong,Stub,23610000.0
11267,Ethiopia,Guled Casowe,Start,114916000.0
11268,Montenegro,Nebojša Kaluđerović,Start,622000.0
11269,Ukraine,Yushchenko government,Start,41778000.0
11270,Australia,Alexander Hean,Stub,25754000.0
11271,Ireland,Patrick Sarsfield (Irish confederate),C,5003000.0
11272,Austria,Franz Hofer,Start,8914000.0
11273,Iraq,Aziz Saleh Nuhmah,Start,39725000.0
11274,Switzerland,Hans Kaufmann,Start,8634000.0
11275,Russia,Sergei Bakinsky,Start,146733000.0
11276,Namibia,Ignatius Shixwameni,Stub,2541000.0
11277,New Zealand,George Cutfield,Stub,4987000.0
11278,Australia,Chris Lugg,Stub,25754000.0
11279,Australia,Clare Martin,C,25754000.0
11280,Australia,Daryl Manzie,Stub,25754000.0
11281,Australia,Eric Poole (Australian politician),Stub,25754000.0
11282,Australia,Fay Miller,Stub,25754000.0
11283,Australia,Mike Reed (politician),Stub,25754000.0
11284,Australia,Peter Styles (politician),Start,25754000.0
11285,Australia,Phil Mitchell (politician),Stub,25754000.0
11286,Australia,Stephen Dunham (politician),Stub,25754000.0
11287,Australia,Stephen Hatton,Start,25754000.0
11288,Australia,Steve Balch,Stub,25754000.0
11289,Australia,Tim Baldwin,Stub,25754000.0
11290,Kenya,Pio Gama Pinto,C,53528000.0
11291,Australia,Dave Rugendyke,Stub,25754000.0
11292,Australia,Malcolm Jones (politician),Stub,25754000.0
11293,Australia,Peter Breen (Australian politician),Start,25754000.0
11294,Australia,Peter Draper,Stub,25754000.0
11295,Australia,Richard Jones (New South Wales politician),Stub,25754000.0
11296,Australia,Roy Smith (Australian politician),Stub,25754000.0
11297,Australia,Tony McGrane,Stub,25754000.0
11298,Canada,Walt Secord,Stub,38190000.0
11299,Australia,Aaron Dillaway,Stub,25754000.0
11300,Australia,Andrew Powell (politician),Start,25754000.0
11301,Australia,Ann Leahy,Stub,25754000.0
11302,Australia,Anthony Shorten,Stub,25754000.0
11303,Australia,Bruce Young (politician),Stub,25754000.0
11304,Australia,Chris Foley (Australian politician),Stub,25754000.0
11305,Australia,Dale Last,Stub,25754000.0
11306,Australia,David Crisafulli,Start,25754000.0
11307,Australia,David Kempton,Stub,25754000.0
11308,Australia,Ian Walker (politician),Start,25754000.0
11309,Australia,Jason Costigan,Start,25754000.0
11310,Australia,John Grant (Queensland politician),Start,25754000.0
11311,Australia,John Hathaway (politician),Stub,25754000.0
11312,Australia,Jon Krause,Stub,25754000.0
11313,Australia,Lachlan Millar,Stub,25754000.0
11314,Australia,Lex Bell,Start,25754000.0
11315,Australia,Mark Boothman,Stub,25754000.0
11316,Australia,Mark Robinson (Australian politician),Start,25754000.0
11317,Australia,Michael Crandon,Stub,25754000.0
11318,Australia,Michael Hart (Australian politician),Start,25754000.0
11319,Australia,Michael Trout (Australian politician),Stub,25754000.0
11320,Australia,Mike Latter,Stub,25754000.0
11321,Australia,Pat Weir,Stub,25754000.0
11322,Australia,Rob Molhoek,Stub,25754000.0
11323,Australia,Saxon Rice,Stub,25754000.0
11324,Australia,Sean Choat,Stub,25754000.0
11325,Australia,Steve Minnikin,Stub,25754000.0
11326,Australia,Ted Sorensen (politician),Stub,25754000.0
11327,Australia,Tony Perrett,Stub,25754000.0
11328,Australia,Trevor Ruthenberg,Stub,25754000.0
11329,Australia,Ian Gilfillan,Stub,25754000.0
11330,Australia,Ian Hunter (politician),C,25754000.0
11331,Australia,Lee Odenwalder,Stub,25754000.0
11332,Australia,Cathy Edwards,Stub,25754000.0
11333,Australia,Colin Rattray,Stub,25754000.0
11334,Australia,Geoff Squibb,Stub,25754000.0
11335,Australia,Greg Hall (politician),Start,25754000.0
11336,Australia,John Loone,Stub,25754000.0
11337,Australia,Mike Gaffney,Stub,25754000.0
11338,Australia,Norma Jamieson,Stub,25754000.0
11339,Australia,Robert Armstrong (Australian politician),Stub,25754000.0
11340,Australia,Rosemary Armitage,Stub,25754000.0
11341,Australia,Tony Fletcher (politician),Stub,25754000.0
11342,Australia,Andrew Olexander,C,25754000.0
11343,Taiwan,Wu Yu-jen,Stub,23610000.0
11344,Australia,Dexter Davies,Stub,25754000.0
11345,Australia,John Hyde (Australian state politician),Stub,25754000.0
11346,Australia,Norm Kelly (Australian politician),Stub,25754000.0
11347,Australia,Philip Gardiner,Stub,25754000.0
11348,Nigeria,Musa Mohammed Sada,Stub,206140000.0
11349,Australia,Amanda Millar,Stub,25754000.0
11350,Australia,Anita Phillips,Stub,25754000.0
11351,Australia,Anne Maddern,Stub,25754000.0
11352,Australia,Bonny Barry,Stub,25754000.0
11353,Australia,Carolyn Hirsh,C,25754000.0
11354,Australia,Carolyn Male,Stub,25754000.0
11355,Australia,Cassy O'Connor,C,25754000.0
11356,Australia,Christine Smith (politician),Stub,25754000.0
11357,Australia,Concetta Fierravanti-Wells,Start,25754000.0
11358,Australia,Dawn Fardell,Start,25754000.0
11359,Australia,Deb Foskey,Start,25754000.0
11360,Australia,Delia Lawrie,Start,25754000.0
11361,Australia,Denise Swan,Stub,25754000.0
11362,Australia,Desley Boyle,Start,25754000.0
11363,Australia,Desley Scott,Start,25754000.0
11364,Australia,Di Farmer,Stub,25754000.0
11365,Australia,Dianne Hadden,Start,25754000.0
11366,Australia,Dianne Reilly,Stub,25754000.0
11367,Australia,Freya Ostapovitch,Stub,25754000.0
11368,Australia,Gay Thompson,Stub,25754000.0
11369,Australia,Heather McTaggart,Start,25754000.0
11370,Australia,Helen Buckingham,Start,25754000.0
11371,Australia,Jacquie Petrusma,Start,25754000.0
11372,Australia,Jan Jarratt,Stub,25754000.0
11373,Australia,Janice Munt,Stub,25754000.0
11374,Australia,Janine Freeman,Stub,25754000.0
11375,Australia,Jaye Radisich,C,25754000.0
11376,Australia,Jennifer Huppert,Stub,25754000.0
11377,Australia,Jenny Lindell,Stub,25754000.0
11378,Australia,Jo-Ann Miller,Start,25754000.0
11379,Australia,Joan Rylah,Stub,25754000.0
11380,Australia,Josie Farrer,Start,25754000.0
11381,Australia,Judy Hopwood,Stub,25754000.0
11382,Australia,Judy Hughes,Stub,25754000.0
11383,Australia,Julie Attwood,Start,25754000.0
11384,Australia,June van de Klashorst,Start,25754000.0
11385,Australia,Kerry Millard,Stub,25754000.0
11386,Australia,Leonie Hiscutt,Stub,25754000.0
11387,Australia,Lesley Clark,Stub,25754000.0
11388,Australia,Libby Mettam,Stub,25754000.0
11389,Australia,Linda Lavarch,Start,25754000.0
11390,Australia,Lindsay Simmons,Start,25754000.0
11391,Australia,Liz Constable,C,25754000.0
11392,Australia,Lynne Kosky,C,25754000.0
11393,Australia,Lynne Walker (politician),Start,25754000.0
11394,Australia,Margaret Keech,Start,25754000.0
11395,Australia,Margaret Quirk,C,25754000.0
11396,Australia,Mary Gillett,Stub,25754000.0
11397,Australia,Mary Porter (politician),Start,25754000.0
11398,Australia,Monica Gould,Start,25754000.0
11399,Australia,Natasha Fyles,Stub,25754000.0
11400,Australia,Nita Cunningham,Stub,25754000.0
11401,Australia,Peta-Kaye Croft,Stub,25754000.0
11402,Australia,Rachel Nolan,Start,25754000.0
11403,Australia,Robyn Lambley,Start,25754000.0
11404,Australia,Rosemary Menkens,Stub,25754000.0
11405,Australia,Roslyn Dundas,Start,25754000.0
11406,Australia,Rosy Buchanan,Stub,25754000.0
11407,Australia,Sue Smith (politician),Stub,25754000.0
11408,Australia,Tanya Gadiel,Start,25754000.0
11409,Australia,Tarnya Smith,Stub,25754000.0
11410,Australia,Tracy Davis,Stub,25754000.0
11411,Australia,Trish White,Start,25754000.0
11412,Australia,Verity Barton,Start,25754000.0
11413,Australia,Vicki Dunne,Start,25754000.0
11414,Australia,Vicky Darling,Start,25754000.0
11415,Australia,Vini Ciccarello,Stub,25754000.0
11416,Australia,Wendy Edmond,Stub,25754000.0
11417,Lithuania,Antanas Valionis,Stub,2794000.0
11418,Lithuania,Audrius Nakas,Stub,2794000.0
11419,Lithuania,Egidijus Klumbys,Stub,2794000.0
11420,Lithuania,Gediminas Vagnorius,Stub,2794000.0
11421,Lithuania,Juozas Olekas,Stub,2794000.0
11422,Lithuania,Naglis Puteikis,Start,2794000.0
11423,Lithuania,Pranas Vilkas,Stub,2794000.0
11424,Lithuania,Remigijus Žemaitaitis,Stub,2794000.0
11425,Lithuania,Rimantas Dagys,Stub,2794000.0
11426,Lithuania,Vidmantas Žiemelis,Stub,2794000.0
11427,Lithuania,Vytautas Bogušis,Start,2794000.0
11428,Estonia,Hannes Võrno,Stub,1331000.0
11429,Estonia,Jaan Kundla,Stub,1331000.0
11430,Estonia,Jaanus Tamkivi,Stub,1331000.0
11431,Estonia,Jüri Mõis,Stub,1331000.0
11432,Estonia,Robert Lepikson,Stub,1331000.0
11433,Estonia,Toomas Vilosius,Stub,1331000.0
11434,Estonia,Tõnis Lukas,Start,1331000.0
11435,Estonia,Tõnis Palts,Stub,1331000.0
11436,Estonia,Värner Lootsmann,Stub,1331000.0
11437,Pakistan,Afshan Rafiq,Start,220940000.0
11438,Norway,Håkon Haugli,Stub,5387000.0
11439,Syria,Mustafa al-Siba'i,Start,19398000.0
11440,Syria,Sami al-Jundi,Start,19398000.0
11441,Spain,Alonso Luján de Medina,Stub,47635000.0
11442,Philippines,Rey Malonzo,Start,109581000.0
11443,Ecuador,Xavier Neira Menéndez,Stub,17511000.0
11445,Italy,Ezio Bartalini,Stub,60296000.0
11446,Guadeloupe,Gaston Gerville-Réache,Stub,375000.0
11447,Finland,Erkki Virtanen,Stub,5529000.0
11453,United States,Milo Bloom,Start,329878000.0
11454,Burundi,Alice Nzomukunda,Start,11866000.0
11455,Burundi,Marina Barampama,Start,11866000.0
11456,Myanmar,Khin Khin Win,Stub,54704000.0
11457,Iran,Rasoul Montajabnia,Stub,84150000.0
11458,Sao Tome and Principe,Maria do Nascimento da Graça Amorim,Stub,210000.0
11459,Guinea-Bissau,Fatumata Djau Baldé,Stub,1927000.0
11460,Chad,Bourkou Louise Kabo,Start,16877000.0
11461,Togo,Cina Lawson,Start,8279000.0
11462,Central African Republic,Marie Agba-Otikpo,Start,4830000.0
11463,Central African Republic,Marie-Joséphe Zani-Fé Touam-Bona,C,4830000.0
11464,Namibia,Hansina Christiaan,Stub,2541000.0
11465,Namibia,Elma Dienda,Start,2541000.0
11466,Namibia,Clara Gowases,Stub,2541000.0
11467,Namibia,Petrina Haingura,Stub,2541000.0
11468,Namibia,Agnes Kafula,Stub,2541000.0
11469,Namibia,Rosa Kavara,Stub,2541000.0
11470,Namibia,Ngohauvi Lydia Kavetu,Stub,2541000.0
11471,Namibia,Agnes Limbo,Start,2541000.0
11472,Namibia,Teopolina Mushelenga,Stub,2541000.0
11473,Namibia,Pashukeni Shoombe,Stub,2541000.0
11474,Gambia,Bintanding Jarju,Stub,2417000.0
11475,New Zealand,George Dean Pitt,Start,4987000.0
11476,Niger,Mounkaïla Aïssata,Stub,24189000.0
11477,Burkina Faso,Marie Françoise Ouedraogo,Start,20903000.0
11478,Burkina Faso,Marie Blandine Sawadogo,Stub,20903000.0
11479,Cape Verde,Orlanda Maria Duarte Santos Ferreira,Stub,556000.0
11480,Gabon,Laure Olga Gondjout,C,2231000.0
11483,Argentina,Hugo Passalacqua,Stub,45377000.0
11485,Austria,Hans Niessl,Stub,8914000.0
11487,Uruguay,Eduardo Bonomi,Stub,3531000.0
11488,Denmark,Aaja Chemnitz Larsen,Start,5829000.0
11490,Nicaragua,Juanita Molina de Fromen,Start,6596000.0
11491,Nicaragua,Dora María Téllez,Start,6596000.0
11492,Nicaragua,Mercedes Tenorio,Stub,6596000.0
11493,Haiti,Myriam Merlet,C,11403000.0
11494,Fiji,Losalini Raravuya Dovi,C,896000.0
11495,Fiji,Tupou Draunidalo,Start,896000.0
11496,Fiji,Salote Radrodro,Start,896000.0
11497,Marshall Islands,Atama Zedkaia,Start,57000.0
11501,Bolivia,Savina Cuéllar,Stub,11633000.0
11502,Bolivia,Adriana Gil,Start,11633000.0
11503,Bolivia,Silvia Lazarte,Stub,11633000.0
11504,Bolivia,Ana Lucía Reis,Stub,11633000.0
11505,Mexico,Gabriela Aguilar García,Stub,127792000.0
11506,Mexico,Marco Antonio Martinez Dabdoub,Stub,127792000.0
11507,Mexico,Abundio Peregrino García,Stub,127792000.0
11508,Sweden,Gertrud Månsson,Start,10377000.0
11509,Mexico,Alejandro González Yáñez,Stub,127792000.0
11510,Mexico,Anuario Luis Herrera Solís,Stub,127792000.0
11511,Mexico,Armando Chavarría Barrera,Stub,127792000.0
11512,Mexico,Armando García Méndez,Stub,127792000.0
11513,Mexico,Arturo Zamora Jiménez,Stub,127792000.0
11514,Mexico,Arturo de la Garza Tijerina,Stub,127792000.0
11515,Mexico,Benjamín Clariond,Stub,127792000.0
11516,Mexico,Carlos Alberto Flores Gutiérrez,Stub,127792000.0
11517,Mexico,César Jáuregui Robles,Stub,127792000.0
11518,Mexico,David Monreal Ávila,Stub,127792000.0
11519,Mexico,David Sánchez Camacho,Stub,127792000.0
11520,Mexico,Delio Hernández Valadés,Stub,127792000.0
11521,Mexico,Enrique Garza Támez,Stub,127792000.0
11522,Mexico,Jesús Manuel Lara Rodríguez,C,127792000.0
11523,Mexico,Fernando Díaz de la Vega,Stub,127792000.0
11524,Mexico,Fernando Margáin,Stub,127792000.0
